Name,Link
adams george madison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000035
albert william julian,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000074
albright charles,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000077
alcorn james lusk,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000079
allison william boyd,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000160
ames adelbert,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000172
anthony henry bowen,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000262
archer stevenson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000274
armstrong moses kimball,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000283
arthur william evans,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000304
ashe thomas samuel,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000309
atkins john dewitt clinton,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000327
averill john thomas,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000344
banning henry blackstone,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000117
barber joel allen,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000122
barnum william henry,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000166
barrere granville,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000173
barry henry w.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000189
bass lyman kidder,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000221
bayard thomas francis sr.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000253
beck james burnie,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000289
begole josiah williams,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000316
bell hiram parks,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000336
berry john,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000419
biery james soloman,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000450
blaine james gillespie,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000519
bland richard parks,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000544
blount james henderson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000568
bogy lewis vital,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000595
boreman arthur inghram,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000638
boutwell george sewel,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000674
bowen rees tate,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000685
bradley nathan ball,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000744
bright john morgan,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000836
bromberg frederick george,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000864
brooks james,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000881
brown john young,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000933
brownlow william gannaway,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000963
buckingham william alfred,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001021
buckner aylett hawes,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001031
buffinton james,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001040
bundy hezekiah sanford,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001059
burchard horatio chapin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001070
burleigh john holmes,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001107
burrows julius caesar,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001142
butler benjamin franklin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001174
butler roderick randum,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001188
cain richard harvey,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000022
caldwell alexander,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000027
caldwell john henry,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000035
cameron simon,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000068
cannon george quayle,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000119
cannon joseph gurney,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000121
carpenter lewis cass,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000170
carpenter matthew hale,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000171
cason thomas jefferson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000232
casserly eugene,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000236
caulfield bernard gregory,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000255
cessna john,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000265
chaffee jerome bunty,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000271
chandler zachariah,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000299
chipman norton parker,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000370
chittenden simeon baldwin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000373
clark amos jr.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000421
clark john bullock jr.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000442
clarke freeman,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000461
clayton charles,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000493
clayton powell,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000498
clements isaac,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000507
clymer hiester,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000539
cobb clinton levering,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000544
cobb stephen alonzo,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000551
coburn john,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000558
comingo abram,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000658
conger omar dwight,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000678
conkling roscoe,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000681
conover simon barclay,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000701
cook philip,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000724
cooper henry,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000751
corwin franklin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000789
cotton aylett rains,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000801
cox samuel sullivan,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000839
cragin aaron harrison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000852
creamer thomas james,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000899
crittenden thomas theodore,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000913
crocker alvah,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000916
crooke philip schuyler,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000927
crossland edward,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000933
crounse lorenzo,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000935
crozier robert,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000952
crutchfield william,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000961
curtis carlton brandaga,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001007
danford lorenzo,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000028
darrall chester bidwell,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000062
davis alexander mathews,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000091
davis henry gassaway,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000103
davis john james,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000119
dawes henry laurens,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000148
de witt david miller,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000285
dennis george robertson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000242
dobbins samuel atkinson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000383
donnan william g.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000413
dorsey stephen wallace,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000441
duell rodolphus holland,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000513
dunnell mark hill,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000555
durham milton jameson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000572
eames benjamin tucker,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000005
eaton william wallace,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000028
eden john rice,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000042
edmunds george franklin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000056
eldredge charles augustus,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000103
elkins stephen benton,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000110
elliott robert brown,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000128
farwell charles benjamin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000037
fenton reuben eaton,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000077
ferry orris sanford,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000094
ferry thomas white,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000095
field moses whelock,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000105
finck william edward,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000118
flanagan james winright,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000186
fort greenbury lafayette,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000288
foster charles,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000299
foster wilder de ayr,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000315
freeman james crawford,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000362
frelinghuysen frederick theodore,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000369
frye william pierce,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000398
garfield james abram,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000063
giddings de witt clinton,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000166
gilbert abijah,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000171
glover john montgomery,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000245
goldthwaite george,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000266
gooch daniel wheelwright,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000274
gordon john brown,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000313
gunckel lewis b.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000523
gunter thomas montague,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000527
hagans john marshall,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000011
hager john sharpenstein,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000016
hailey john,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000023
hale eugene,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000029
hale robert safford,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000037
hamilton morgan calvin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000115
hamilton robert,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000117
hamilton william thomas,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000118
hamlin hannibal,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000121
hancock john,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000150
harmer alfred crout,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000215
harris benjamin winslow,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000233
harris henry richard,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000239
harris john thomas,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000247
harrison horace harrison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000271
harvey james madison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000307
hatcher robert anthony,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000341
hathorn henry harrison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000347
havens harrison eugene,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000357
hawley john baldwin,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000376
hawley joseph roswell,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000377
hays charles,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000402
hazelton gerry whiting,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000419
hazelton john wright,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000420
hendee george whitman,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000474
hereford frank,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000527
herndon william smith,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000535
hersey samuel freeman,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000545
hitchcock phineas warren,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000648
hoar ebenezer rockwood,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000653
hoar george frisbie,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000654
hodges asa,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000671
holman william steele,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000732
hooper samuel,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000765
hoskins george gilbert,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000801
houghton sherman otis,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000815
howe albert richards,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000850
howe timothy otis,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000856
hubbell jay abel,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000894
hunter morton craig,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000985
hunton eppa,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000999
hurlbut stephen augustus,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001003
hyde ira barnes,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001023
hynes william joseph,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001027
ingalls john james,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000012
jewett hugh judge,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000105
johnston john warfield,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000191
jones john percival,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000237
kasson john adam,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000018
kelley william darrah,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000062
kellogg stephen wright,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000067
kelly james kerr,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000074
kendall charles west,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000090
killinger john weinland,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000179
knapp robert mccarty,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000281
lamar lucius quintus cincinnatus,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000030
lamison charles nelson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000039
lamport william henry,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000042
lansing william esselstyne,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000088
lawrence effingham,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000132
lawrence william,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000140
lawson john daniel,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000144
leach james madison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000170
